80	80.5
81	80.5
82	80.5
83	80.5
84	80.5
85	80.5
86	80.5
87	80.5
88	80.5
89	80.7
90	80.5
91	81.2
92	81.6
93	82.4
94	84.2
95	83.7
96	84
97	84.1
98	87.8
99	92.6
100	99.8
101	99.93
102	100.07
103	100.2
104	100.33
105	100.47
106	100.6
107	101.03
108	101.46
109	101.89
110	102.31
111	102.74
112	103.17
113	103.6
114	101.98
115	100.36
116	98.74
117	97.12
118	95.5
119	95.98
120	96.47
121	96.95
122	97.43
123	97.92
124	98.4
125	98.08
126	97.77
127	97.45
128	97.13
129	96.82
130	96.5
131	98.93
132	101.37
133	103.8
134	106.23
135	108.67
136	111.1
137	110.75
138	110.4
139	110.05
140	109.7
141	109.35
142	109
143	110.64
144	112.29
145	113.93
146	115.57
147	117.21
148	118.86
149	120.5
150	119.6
151	118.7
152	117.8
153	116.9
154	116
155	115.1
156	112.8
157	115.3
158	113.4
159	113.5
160	113.3
161	106.7
162	107.45
163	108.2
164	108.2
165	108.2
166	108.1
167	80.1
168	80.1
169	80.1
